,pupilId,classId,taskId,taskSeriesId,duration,state,evaluation,falseAttempts,teacherFeedback,revision,helpRequested,subType,question,sampleSolution,number words in answer,numberHints,rating_content,rating_format,rating_creativity
65,Ay6mfswm3SFcQdNJg,qFEyvypMn4sAwLwtc,AIClosing-1-8,AIClosing,243,"Ich fand das Design und die Idee dieser Plattform sehr gut und mir fällt nicht wirklich irgendetwas ein woran man meckern könnte, außer wenn ich sehr pingelig mit der Bewertung bin. Eine Sache die ich toll fände wenn sie verbessert würde wäre die Dauer der Lektionen und deren ""Belohnung"". Wenn bei einer Übung nur sehr wenige Coins angeboten werden hat man weniger Lust diese zu machen.",pending,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",66.0,,,,
67,Z9DkQMmtiPiHtteME,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,920,"<span style=""background-color: rgb(248, 246, 247); color: rgba(0, 0, 0, 0.87);"">kl ist ein Zweig der Informatik, der sich der Automatisierung von intelligentem Verhalten und maschinellem Lernen widmet. Der Begriff ist schwer zu definieren, da es keine genaue Definition von ""intelligent"" gibt. Trotzdem wird es immer noch in Forschung und Entwicklung eingesetzt.</span>",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",50.0,,5.0,4.0,5.0
71,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,147,Künstliche  Intelligenz ist ein Algorithmus der trainiert oder programmiert wurde bei bestimmten Reißen oder Bedingungen bestimmte Handlungen ausführt.,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",18.0,,4.0,4.0,4.0
78,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,293,"Eine KI kann durch bestimmte Handlungen, selbst entscheiden was es für eine Handlung ausführen muss. Dafür hat die KI einen Algorithmus durch den sie auch selbst erweitern oder ändern kann wenn’s eine selbstlernende KI ist. Es gibt spezifische KI die z.B nur die schnellste Autoroute von A nach B berechnen können aber auch allgemeine KI die in jedem Bereich ein gewisse Intelligenz  besitzen. Solch eine allgemeine Intelligenz gibt es aber noch nicht.",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",72.0,,5.0,5.0,4.0
81,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,265,Wenn mehr als 90% der Bedingungen erfüllt werden gebe: „Es ist ein Hund!“ aus.Bedingung 1: Fell von lang bis kurz.Bedingung 2: 4 BeineBedingung 3: Nase ist eine Schnauze und nicht von Fell bewachsen.Bedingung 4: Ohren mit Fell bewachsenBedingung 5: 4 PfotenBedingung 6: jede Pfote hat 4 Krallen und eine hochgezogene auf der Hinterseite<br>,correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",53.0,,5.0,5.0,5.0
86,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,137,Maschinelles lernen ist lernen bei dem eine Maschine oder eine KI trainiert wird. Dafür braucht die sehr viele Daten und bekommt am Ende ein Feedback ob sie richtig gehandelt hat oder nicht. Mit diesem Feedback werden die Daten die zu einer Handlung führen angepasst.,correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",44.0,,4.0,5.0,4.0
96,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,198,"Cluster 1 ist am besten für eine Make-Up-Marke. Da es viele Views und auch als Thema Beauty gibt. Cluster 3 für Autos, da die Zuschauer 50 sind und sich für Wirtschaft interessieren haben sie wahrscheinlich recht viel Geld und können sich ein Auto leisten.",correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",44.0,,4.0,5.0,4.0
106,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,52,Dann würde der Algorithmus nur Seehund als Hunde Labeln. Echte Hunde würde er nicht erkennen.,correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",15.0,,5.0,5.0,4.0
113,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,161,Maschinelles lernen ist ein Lernprozess bei dem mit großen Datenmengen eine KI trainiert wird um  mit bestimmten Handlungen zu reagieren. Es gibt dass überwachte lernen bei dem ein Algorithmus mit gekabelten Daten trainiert wurde und dann später Daten selbst Labeln kann und das unüberwachte lernen das cluster also Regelmäßigkeiten findet.,correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",50.0,,5.0,4.0,4.0
116,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,Impact-2-1-1,Impact-2,482,Durch Deepfakes können Bilder oder Videos entstehen bei denen Personen Handlungen durchführen die so nie passiert sind. Es gibt z.B. einen Clip von Obama bei dem er sagt Präsident Trump ist ein Vollidiot. So hat Obama es allerdings nie gesagt. Viele Menschen halten es trotzdem für echt. Deepfakes können also viele Menschen überzeugen das eine andere Person etwas gemacht hat was sie nie getan hat.,correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",65.0,,5.0,5.0,4.0
125,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,Impact-3-1-3,Impact-3,182,"Menschen könnten sich mehr auf Aufgaben konzentrieren die nicht so einseitig sind, weil genau diese Jobs gut von der KI übernommen werden können. Der Mensch kann dann die abwechslungsreichen oder sozialen Jobs übernehmen.",correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",33.0,,4.0,3.0,4.0
132,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,AIClosing-1-5,AIClosing,154,"Ich würde ihm sagen, dass eine KI niemals so komplex denken kann wie er selbst. Die KI wird immer nur kleine Teilbereiche gut Beherschen können. Der Mensch ist also nicht von KI bedroht sondern hat nur eine Hilfe im Alltag die einen bei Teilbereichen unterstützt.",correct,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",45.0,,4.0,5.0,4.0
135,sqBXKssFvS8pFYAMv,qFEyvypMn4sAwLwtc,AIClosing-1-8,AIClosing,143,"Ich fand es gut das Videos eingebunden wurden und oft nach der Meinung gefragt wurde.  Die Tipps bei den Multiple-choice Aufgaben könnten allerdings noch auf die jeweils angeklickten Antworten angepasst werden, da man oft einen Tipp zu einer Antwort bekommen hat die man bereits ausgewählt hatte.",correct,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",46.0,,5.0,5.0,5.0
137,Kd6FuRsrq6QvPrkKp,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,979,"Künstliche Intelligenz heißt, dass ein Roboter (Beziehungsweise eine Maschine) nachahnen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstgliche Intelligenz komplett selbstständig handeln, dies geschieht durch die sogenannte Automatisierung. Zum Beispiel werden Autos auf das sogenannte Autonomes Fahrsystem ungestellt, was bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln.<br>",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",55.0,,4.0,4.0,5.0
143,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,156,"KI oder besser gesagt Künstliche Inteliegenz sind Programme von Menschen erschafen die von Menschen lernen, eigenständich handeln können und sich weiter entwickeln können.",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",23.0,,4.0,3.0,4.0
150,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,195,"KI anwendung können eigene entscheidungen treffen und lernen durch Erfahrung Spezifische KI umfasst Anwendung, die menschenähnliche Intelligenz in einem kleinen Bereich zeigt",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",22.0,,4.0,3.0,4.0
153,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,245,"Es ist ein Hund, wenn es ein Tier mit Leine istEs ist ein Hund, wenn es eine längliche schnauze hat Es ist ein Hund, wenn es 4 Pfoten hatEs ist ein Hund, wenn es einen Schwanz hat Es ist ein Hund, wenn es Bellen kann <br>",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",46.0,,4.0,5.0,4.0
158,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,32,Mir fällt grad nichts ein,correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",5.0,,1.0,1.0,1.0
168,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,350,Cluster 1 würde am ehesten Make-up kaufen da Beauty und Vlogs Youtuberinen auch etwas in ihren Videos mit Make-up machen würden und ihre Viewer nur Frauen sind.<br>Für Autos wäre am besten Cluster 2 und 5 da Gaming oft mals auch mit Autos was zu tun wie Forza Horizen 4 oder Grand Turismo sport und bei den Cluster 5 wär es z.B Rally Deshalb sind meistens die zuschauer auch Fans von Autos oder Rally cars.<br>,correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",74.0,,4.0,4.0,4.0
178,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,75,dann würden Hunde kaum noch als Hund vom Programm erkannt werden sondern seehunden würden als Hunde gesehen werden,correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",18.0,,5.0,3.0,4.0
185,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,151,"Beim Maschinellem Lernen, wird die KI von einen Menschen treniert sachen zu tun ",correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",13.0,,4.0,2.0,5.0
188,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,Impact-2-1-1,Impact-2,53,Man könnte damit verbrechen fälschen ,correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",5.0,,4.0,4.0,4.0
197,jRT6yzZ2ip5ab5ZFM,qFEyvypMn4sAwLwtc,Impact-3-1-3,Impact-3,372,Z.b könnten KI in autos eingestzt werden damit autos rechtzeitig automatisch abbremsen.,correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",12.0,,3.0,2.0,4.0
