,pupilId,taskId,duration,number words in answer,state
557,TLqNCrX4jaYixjtv7,AI-1-v2-1-2,1125,66.0,"Künstliche Intelligenz ist wenn Programme durch das Deep-learning Verfahren Dinge erkennen kann und den Menschen z.B. helfen, objektiv zu bewerten. KI wird beispielsweise für Autonomes Fahren, Pflegeroboter  und Erkennen einer Lungeninfektion auf der Computertomografie genutzt. Allerdings wird KI auch sehr kritisiert, da Roboter keine Entscheidungen treffen sollen und auch bei den Pflegerobotern, weil sie nicht wirklich Gefühle besitzen, sondern diese Gefühle nur durch einem Bildschirm vortäuschen. "
564,TLqNCrX4jaYixjtv7,AI-4-v2-1-3,778,41.0,Es gibt spezifische KI und die Vorstellung von allgemeine KI. Spezifische zeigen menschenähnliche Intelligenz in einem kleinen Bereich und allgemeine KI zeigen menschenähnliche Intelligenz in alle Bereiche. Allerdings gibt es noch keine allgemeine KI. KI lernen durch Erfahrung in einem Deeplearning-prozess
582,TLqNCrX4jaYixjtv7,Clustering-2-1-1,524,35.0,"Beauty, Vlogs repräsentiert eine Make-Up-Marke. Weil die Youtuber sich im Video schminken. Die Zuschauer von Kindererziehung, Geldanlage würden Autos kaufen. Weil sie Kinder zur Schule bringen müssen und man mit 30 ein Auto leisten kann. "
603,hn2oJ5p2CwPfG44wx,AI-1-v2-1-2,818,34.0,"Bei Künstlichen Intelligenzen wird durch das Deep Learning (dies kann z.B. über Pixel Registrierungen bei Bildern funktionieren, wenn es um Bilderkennung handelt) versucht, Computern die Fähigkeit zu verleihen menschlich zu denken und zu lernen."
618,hn2oJ5p2CwPfG44wx,ML-2-1-2,786,60.0,"Maschinelles Lernen wird auch ""deep learning"" genannt. Dabei lernt das Computer durch Erfahrungen in einem bestimmten Bereich. Wenn man möchte das ein Computer Katzen erkennen kann, legt man ihm viele verschiedene Katzen Bilder vor. Dann erkennt er alle Ecken, Kanten und typische Formen, wie Nase, Ohren. Durch häufige Wiederholungen lernt der Computer dann, auch von anderen Bildern Katzen zu erkennen. "
628,hn2oJ5p2CwPfG44wx,Clustering-2-1-1,770,75.0,"Das Beauty, Vlogs repräsentiert am ehesten eine Make-Up-Marke, da es da ohnehin schon mehr um so etwas wie Make-up geht. Außerdem sind die meisten Zuschauer Frauen und da Make-up meist etwas für Frauen ist, passt es.Und die Zuschauer von dem Cluster Kindererziehung, Geldanlage würden am ehesten Autos kaufen, da Leute in großen Familien meistens Autos brauchen. Außerdem passen Autos auch noch für Leute, die sich für Geldanlage interessieren, da sie sich meistens Autos leisten können."
657,kdqG4fXAK64zdrqN8,AI-1-v2-1-2,1100,47.0,"Künstliche Intelligenz sorgt für die Digitalisierung. Durch das Deep Learning lernen sie Dinge objektiv zu bewerten, also wird menschliches Denken auf Computer übertragen. Dazu gehören Roboter, autonomes Fahren, Computertomographie. Viele sind gegen die Künstliche Intelligenz (Roboter), da sie der Meinung sind, dass sie keine Entscheidungen treffen sollten. "
664,kdqG4fXAK64zdrqN8,AI-4-v2-1-3,638,24.0,"Die KI behandelt das maschinelle Lernen und die Automatisierung intelligenten Verhaltens. Die KI nimmt uns Menschen bestimmte Arbeiten ab, wie z.B. im industriellen Bereich."
718,Absyuhryq96KZL2Cs,AI-4-v2-1-3,1280,23.0,- KI wird inn der Zukunft in autos sein<ul><li>vereinfacht den Menschen das Leben </li><li>lernt durch seine Fehler</li><li>Wird auch später in anderen Fachbereichen auftreten</li></ul>
721,Absyuhryq96KZL2Cs,ML-1-1-1,1060,53.0,"<h3>-“Es ist ein Hund, wenn es vier Pfoten hat.”</h3><h3>-“Es ist ein Hund, wenn es ein Tier mit Leine ist.”</h3><h3>-“Es ist ein Hund, wenn langer Schwanz.''</h3><h3>-“Es ist ein Hund, wenn es Fell besitzt.''</h3><h3>-“Es ist ein Hund, wenn es eine Schnauze hat.''</h3><h3>-“Es ist ein Hund, wenn Schnurrhaare.''</h3><h3>-“Es ist ein Hund, wenn es Wuff Wuff macht.''</h3><br><br><br><br><br><br><br>"
726,j3AkifkKRR3t3NeoT,AI-1-v2-1-2,575,67.0,"KI kann man auch als menschliches Lernen bezeichnen. In Zukunft soll KI in Autos, aber auch als Roboter als Haushaltshelfer ein fester Bestandteil unseres Alltags sein. Künstliche Intelligenz will man in Zukunft auch in der Medizin nutzen. Dort soll es dann Dinge wie Muster erkennen, wo Ärtze nichts anfangen können. KI hat auch schlechte Seiten. Wenn zukünftig mehr KI genutzt wird, dann fallen die Zahlen der Arbeitsplätze. "
733,j3AkifkKRR3t3NeoT,AI-4-v2-1-3,622,62.0,"Es gibt zwei Arten von KI. Einmal die spezifische und die allgemeine. Die spezifische KI ist trainiert in einem bestimmten Bereich zu arbeiten. Die allgemeine KI kann viel mehr Dinge gut und positiv in verschiedenen Bereichen erbringen. KI nutzt man z.B. bei Websiten, die deinen Feed nach deinem Geschmack personalisieren. Außerdem kann KI Dinge durch ihr Aussehen erkennen. KI lernt aus Erfahrung."
753,XKrLvRHLaM7yDisR6,AI-1-v2-1-2,811,53.0,"Künstliche Intelligenz (KI) ist ein weitreichender Zweig der Informatik, der sich mit dem Bau intelligenter Maschinen befasst, die Aufgaben ausführen können, die normalerweise menschliche Intelligenz erfordern. KI ist eine interdisziplinäre Wissenschaft mit mehreren Ansätzen, aber Fortschritte beim maschinellen Lernen und beim tiefen Lernen führen zu einer Verschiebung in praktisch allen Bereichen der Technologiebranche.<br>"
763,XKrLvRHLaM7yDisR6,ML-1-1-1,793,28.0,"<pre class=""ql-syntax"" spellcheck=""false"">Es ist ein Hund,wenn es vier Pfoten steht .
 Es ist ein Hund,wenn es eine Schnauze hat.
Es ist ein hund,wenn es einen Schwanz(tail) hat.
</pre><br>"
783,C2BW6tdii778v4RfL,AI-4-v2-1-3,1141,24.0,"<span style=""color: rgb(32, 33, 36);"">Die KI ist der Versuch, menschliches Lernen und Denken auf den Computer zu übertragen und ihm damit Intelligenz zu verleihen.</span>"
786,C2BW6tdii778v4RfL,ML-1-1-1,1060,50.0,"es ist ein Hund, wenn es  4 Pfoten hat. es ist ein Hund wenn es eine spitze Schnauze hat. es ist ein Hund wenn es an der leine ist. es ist ein hund wenn es nicht so aussieht als würde es dich aufessen wollen, das wär ein wolf oder fuchs"
872,3hiSwDCiw9HeyHg7f,AIClosing-1-5,623,31.0,"Eine Künstliche Intelligenz kann nur das machen worauf sie trainiert wurde. Die Szenarien aus Actionfilmen, wo Künstliche Intelligenzen die Herschafft über die Welt ergreifen sind zumindest zum Aktuellen Zeitpunkt nur Fantasien."
877,MRSj5LqwWj6WSoj4E,AI-1-v2-1-2,594,67.0,"Eine Künstliche Intelligenz ist ein Programm der von verschiedenen Strukturen lernen kann. Die KI wird von den Menschen weiterhin verbessert so das sie ihre Aufgaben erledigen können. Sie werden zum Beispiel genutzt, um Menschen zu retten oder Sachen zu erkennen die Menschen nicht erkennen können und andere Dinge. Die Künstliche Intelligenz wurde erfunden, um das zu machen wo für die Menschen Schwierigkeiten oder eine große Gefahr haben."
895,6bBwnX2mwAp2NAwNR,AI-1-v2-1-2,968,58.0,"Künstliche Intelligenz bedeutet, dass ein Roboter (bzw. eine Maschine) Verhalten nachahmen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstliche Intelligenz <strong>komplett selbstständig</strong> handeln, dies geschieht durch die sogenannte <strong>Automatisierung</strong>. Zum Beispiel werden Autos auf das sogenannte ""<strong>autonome Fahrsystem</strong>"" umgestellt, was so viel bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln. "
902,6bBwnX2mwAp2NAwNR,AI-4-v2-1-3,932,108.0,"KI (Künstliche Intelligenz) unterscheidet man in zwei Bereichen: Die spezifische KI und die allgemeine KI. Die spezifische KI weist menschenähnliche Intelligenz in einem kleinen Bereich vor (dies kann zum Beispiel ein Filter sein), sie kann aber auch die menschliche Intelligenz übertreffen (Computer Games). Die allgemeine KI weist menschenähnliche Intelligenz in einem großen Bereich vor, was so viel bedeutet, dass sie in mehreren und auch größeren Bereichen der menschlichen Intelligenz ähneln oder sogar übertreffen.<br>Eine KI lernt durch Erfahrung: Sie wird also trainiert. In Computer-Games hat sich die KI schon so weit entwickelt, dass sie die Besten E-Sportler übertreffen. Dies geschieht unter anderem dadurch, dass die KI selbstständig handeln kann."
905,6bBwnX2mwAp2NAwNR,ML-1-1-1,543,58.0,"Es ist ein Hund, wenn es einen Schwanz hat.Es ist ein Hund, wenn es eine Schnauze hat.Es ist ein Hund, wenn es vier Beine und vier Pfoten hat.Es ist ein Hund, wenn es zwei Ohren hat.<br>Es müssen jedoch verschiedene Bedingungen erfüllt werden, damit ein Hund erkennbar ist. Es kann sein, dass die oben genannte Bedingungen nicht erfüllt werden."
920,6bBwnX2mwAp2NAwNR,Clustering-2-1-1,845,96.0,"Das 1. Cluster repräsentiert am Besten eine Make-Up-Marke, da sich die Videos der Youtuber in diesem Cluster mit ""Beauty"" beschäftigen, wo Make-Up-Marken eine große Rolle spielen. Zudem sind es eher die weiblichen Personen, die sich mit Make-Up beschäftigen. Zu sehen ist nämlich, dass das Cluster 1 nur weibliche Youtuber beinhaltet. <br>Das 5. Cluster repräsentiert am ehesten Autos. Dieses Cluster beschäftigt sich mit Extremsport, wo Autos in jener Hinsicht eine Rolle spielen. Auch sind die Youtuber dort nur männlich sowie deren Viewer dann wahrscheinlich auch. Das Thema ""Autos"" sind nämlich, für die männlichen Viewer, ein interessantes Thema"
1670,Decqz7SuZcHMFsSAn,AI-1-v2-1-2,760,103.0,"Bisher weiß ich, dass künstliche Intelligenzen Algorithmen sind. Sie werden so programmiert, dass sie lernen können und das gelernte auch gespeichert wird, um es später dann wieder abzurufen und das gelernte auch wieder an zuwenden.Es gibt zwei Arten von Künstlichen Intelligenzen, die eine ist die Schwache KI, welche nur auf ein Gebiet spezialisiert ist und auch in diesem gut funktionieren.Die andere Art von KI ist die starke KI, die ,,anscheinend"" über die gleichen Fähigkeiten verfügen soll, wie ein Mensch. Sie könnte auch ihre Schlüsse und Ergebnisse auf andere Aufgabengebiete übertragen.Aber egal welche Art von KI, beide können lernen, ähnlich wie bei einem Menschen."
1680,Decqz7SuZcHMFsSAn,ML-1-1-1,607,119.0,"Es ist möglich, dass Algorithmen Tiere wie z.B. Hunde erkennen. Dazu können Regeln wie: ,,Es ist ein Hund, wenn er vier Pfoten hat"" , ,,Es ist ein Hund, wenn er zwei Augen hat"" , ,, Es ist ein Hund, wenn er zwei Ohren hat"" , ,,Es ist ein Hund, wenn er eine Schnauze hat"" , ,,Es ist ein Hund, wenn er Fell hat"" , oder ,,Es ist ein Hund, wenn er ein Schwanz hat"". Mit solchen Regeln, könnte es sein, dass eine KI einen Hund erkennt. Allerdings gibt es auch andere Tiere, die auch auf die Beschreibung passen, so konnte die KI anfangs Fehler machen. Auch konnte die Vielfältigkeit der Hunde in ihrer Größe und im Aussehen Schwierigkeiten bereiten.  "
1712,tFtNEGEvAWMPxNKri,AI-1-v2-1-2,2197,51.0,"Künstliche Intilligenz bedeutet, dass Maschinen oder elektronisch betriebene Erschaffungen von Menschen, die Intelligenz von Menschen bzw. Lebewesen erhalten. Oder, dass diese Maschinen so handeln und entscheidungen treffen können, wie wir Menschen. Dies kann dem Menschen helfen, bestimmte Aufgaben erledigen zu lassen und somit die Maschinen für den Menschen arbeiten zu lassen."
1722,BHDJ6HWSM5MZo6YSJ,AI-4-v2-1-3,619,52.0,"Eine KI ist selbst denkend. Es lernt selbst dazu. Zurzeit schaffen wir aber es nur das eine KI im ein Bereich gut ist( das wo sie programmiert wurde) und nicht das sie generell gut ist. Aber in diesen einen Bereich kann die KI sogar besser sein, als Menschen es je sein können."
1767,PWuKnsCopAGh2sBNd,ML-1-1-1,612,81.0,"Ja man kann ein Algorithmus schreiben der ein Hund erkennt. Dieser muss Regeln besitzen.<ol><li>Regel. das Lebewesen muss Augen Mund Nase und Ohren haben.</li><li>Regel. Das Tier sollte Fell haben  ,Pfoten, einen Hundeschwanz besitzen.</li><li>Regel. Wenn das Tier an einer Leiner ist ist es ziemlich sicher ein Hund</li></ol><br><br>Dieser Algorithmus ist  sehr schwer da es sehr viele Hundearten gibt und die sich sehr untereinander unterscheiden in jeder Kategorie z.b die Größe manche Hunde sind so klein wie eine Hauskatze und andere wie ein kleines Pony. "
1942,iFu7aGDqSfNbSFvoL,AI-1-v2-1-2,661,13.0,vielleicht bedeutet Künstliche Intelligenz mit Maschinen zu lernen oder Hilfsmittel bei der Arbeit.<br>
1952,iFu7aGDqSfNbSFvoL,ML-1-1-1,786,1.0,Fell
2265,rdey75egbdBviYKD6,Clustering-2-1-1,820,46.0,"Ich denke Cluster 1 repräsentiert am Besten eine Make-Up-marke, da es häufig Themen über Beauty gibt. Und die Anzahl der Views ist ziemlich hoch.<br>Ich denke Personen aus Cluster 2 würden am Ehesten Autos kaufen, da sie durch unterschiedliche Let´splays oder Games Informationen über unterschiedliche Autos bekommen.<br>"
2554,zBgRiFyXPXhDqsqwb,ML-1-1-1,972,32.0,Es ist ein Hund wenn er zwei Augen und ein Mund und eine Nase hat.Es ist ein Hund wenn er ein Schwanz hat.Es ist ein Hund wenn er aussieht wie ein Hund.
2598,zBgRiFyXPXhDqsqwb,Impact-3-1-3,556,20.0,Ich denke bei einer Krankheit kann die KI mehr und vielleicht schneller eine Krankheit erkennen um schneller wieder gesund werden.
2712,n9zGaAFZH5uiAEoTH,ML-1-1-1,5419,43.0,Es ist ein Hund : 	wenn es Fell hat 	wenn es an einer leine ist	wenn es 4 beine hat	wenn es auf sein besitzer hört 	wenn es eine schwarze Nase hat die sich vorne an der schnauze befindet die aussieht wie leder<br>
2754,29Lq4fguqCLhap77S,ML-1-1-1,559,26.0,"Es ist ein Hund, wenn er ein Halsband hat, wenn er hechelt, wenn die Zunge raushängt, wenn er Fell hat oder wenn er süße Augen hat."
2759,29Lq4fguqCLhap77S,ML-2-1-2,578,19.0,"Maschinelles Lernen bedeutet, das ein Programm durch das trainieren seiner bestimmten Aufgaben sich verbessert, dies tut es aber selbstständig."
2940,sfmw8KQLy8LGdYmYq,Impact-3-1-3,1076,5.0,die menschliche arbeit verbessert sich
3162,Pg7BFWmCtMbhidD3w,AI-1-v2-1-2,652,74.0,"KI ist ein Teilgebiet der Informatik, in welchem man versucht Computern die Fähigkeit zu zu geben wie ein Mensch zu handeln. Man unterscheidet zwischen starker und schwacher KI, die schwache KI kann ein bestimmtes Problem lösen auf das sie programmiert wurde. Eine starke KI, was es bis heute aber nicht nicht gibt, kann selbstständig verschiedene Probleme lösen. Meist arbeiten KIs mit Algorithmen um z.B. große Datenmengen zu ordnen, schnellstmögloche Routen zu finden, Handschriftenerkennung usw."
3306,hnSuDAuJxnggYbASM,Clustering-2-1-1,720,140.0,"Make-Up-Marke: 1-Viele der Zuschauer Interessieren sich für Beauty, wo auch Make-up zugehört.-Außerdem sind die Youtuber in einem alter, wo Make up inn ist, und die Zuschauer sind in einem alter wo man warscheinlich am meisten Make-up in seinem Leben benutzt.-Die Zuschauer und die Youtuberinn sind weiblich (Interessieren sich im gegensatz zu Männern sehr dolle für Make up-Außerdem hat sie viele views und Lädt auch halbwegs viele Videos hoch<br>Autos kaufen:3-Zuschauer und Youtuber sind vom Alter auf Augenhöhe-Lädt sehr viele Videos hoch, was zusammen damit dass Autos ja eh teuer sind (Es müssen nicht viele gekauft werden damit es sich für den Hersteller lohnt) kompensiert dass er nicht so viele Views hat-Die Zuschauer sind in einem Alter wo man sich durchaus auch ein Teuerers Auto kaufen kann-Kanal spricht beide geschlechter an-Da die Zuschauer Business sachen gucken haben sie wohl auch größere Geldbeutel"
3335,hnSuDAuJxnggYbASM,Impact-3-1-3,555,58.0,"-Dem Arzt könnte bei der Diagnose ein wenig unter die Arme gegriffen werden, aber am Ende entscheidet der Arzt-Im Verkehr wird den Autofahrern geholfen, wenn sie z.B. eingeschlafen sind, es könnte im Verkehr eventuelle Probleme von der Ki festgestellt werden die aber noch vom Menschen als Problem bestätigt werden müssen-Arbeitsvorgänge könnten von der Ki noch Effizenter gemacht werden<br>"
4057,8jxQibGAdG7f9fjZj,AI-4-v2-1-3,585,38.0,KI gibt es in verschiedenen Formen: in spezifischer und allgemeiner KI. Sie sind sehr schlau und haben ein intelligentes Verhalten und sind selbständig. Die meisten KI´s sind nur in einer Sache gut und gehören deshalb zur spezifischer KI.<br><br>
5125,oX6Z8YXDvABBdmAfm,Clustering-2-1-1,849,28.0,Cluster 1 präsentiert am ehesten eine Make-up-Marke.Cluster 2 präsentiert am ehesten eine Gaming marke.Cluster 5 präsentiert am ehesten eine Extremsport ''marke''.Cluster 6 präsentiert am ehesten eine Yoga ''Marke''
5567,dfgu3qQKvYzZf7T3v,Clustering-2-1-1,767,72.0,<h3>Ich habe für die Make-Up-Marke die Cluster gewählt die die Videos über  Beauty macht.</h3>Ich habe sie auch noch gewählt weil sie die Perfekte Zuschauer Gruppe hat nämlich sind die meisten Ihrer Zuschauer junge Mädchen sind.<h3> Für die Autos Habe ich den 50 jährigen Clustergenommen dar er und seine Zuschauer das Perfekte Alter zum Auto kaufen.</h3><h3><br></h3>Er hat auch nur Männer als Zuschauer die alle nur rund um 50 Jahre Alt.  <h3> </h3> <br>
5611,kNif57ypHXceM33Yk,Clustering-2-1-1,534,84.0,"Wenn man eine Make up marke presentieren möchte, wäre es die erste Person mit 1.500.000 Views, weilSie sich mit make up generell auskennt und es für die leute die denen die marke gefällt kaufen möchten.<br>Wegen dem Auto wäre es bei mir 2 Personen, weil, die eine Person kennt sich gut mit Wirtschaft aus vielleicht weiß er viel über Autos und hat 50.000 Views. Der andere kennt sich gut mit Geldanlagen aus und kann vielleicht günstige tolle Autos empfehlen und hat aber nur 20.000 Views."
6424,3GGQqRsPRZK2LXnnC,Clustering-2-1-1,914,103.0,"Für eine Make-Up-Marke habe ich Clusternr. 1 gewählt, weil die Youtuberin häufig Videos über Beauty hochlädt, was perfekt für eine Make-Up-Marke wäre und eine besseren Konkurrenten gibt es nicht. Außerdem ist sie jung (23 Jahre alt) und hat über 1,5 Million Views mit nur 165 Uploads und ihre Leistung ist höher als die von fast alle anderen und ihre Zuschauer sind 16jährige weibliche Menschen. <br>Für Autokaufen habe ich Clusternr. 3 gewählt. Der Youtuber ist alt und macht Videos über Nachrichten und Wirtschaft. Nur seine Zuschauer sind also hauptsächlich  ältere Leute, die selbstständig sind. Da sie Geld haben, können nur sie hauptsächlich Autos kaufen."
