,pupilId,classId,taskId,taskSeriesId,duration,state,submitted,subType,evaluation,falseAttempts,hintsTaken,rating,teacherFeedback,question,answers,minLabel,maxLabel,hints,sampleSolution,number words in answer,rating_content,rating_format,rating_creativity
10,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,AI-4-v2-1-5,AI-4-v2,7,100,True,surveySlider,,,,,,Wie gut hast du den Unterschied zwischen spezifischer und allgemeiner KI verstanden?,,Gar nicht,Sehr gut,,,,,,
11,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,203,"Einem Algorithmus, der Hunde auf Bildern erkennen soll werden zuerst die typischen Merkmale eines Hundes gezeigt, wie zum Beispiel, dass ein Hund vier Pfoten hat. Auf Basis dieser Merkmale wird der Algorithmus dann mit vielen Bildern trainiert. Das wird solange gemacht bis der Algorithmus immer erkennt ob es sich um ein Hund oder vielleicht ein anderes Tier handelt.",True,freetext,correct,,,"{'content': 4, 'format': 5, 'creativity': 4}",,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”",,,,,"Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",58.0,4.0,5.0,4.0
12,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-1-1-2,ML-1,95,"[0, 1, 0]",True,survey,,,,,,"Oft ist es schwierig, mit ein paar Regeln alle Fälle zu bedenken. Würden deine Regeln die folgenden Fälle richtig erkennen? Einen Hund mit 3 Beinen.","[{'de': 'Als Hund.', 'en-US': 'As a dog.'}, {'de': 'Nicht als Hund.', 'en-US': 'Not as a dog.'}]",,,,,,,,
13,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-1-1-3,ML-1,7,"[1, 0, 0]",True,survey,,,,,,Einen Nackthund (Hundeart ohne Fell)?,"[{'de': 'Als Hund.', 'en-US': 'As a dog.'}, {'de': 'Nicht als Hund.', 'en-US': 'Not as a dog.'}]",,,,,,,,
14,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-1-1-4,ML-1,4,"[0, 1, 0]",True,survey,,,,,,Eine Katze?,"[{'de': 'Als Hund.', 'en-US': 'As a dog.'}, {'de': 'Nicht als Hund.', 'en-US': 'Not as a dog.'}]",,,,,,,,
15,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-2-1-1,ML-2,10,66,True,surveySlider,,,,,,"Wie gut weißt du schon, was Maschinelles Lernen ist?",,Gar nicht,Sehr gut,,,,,,
16,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,219,"Beim maschinellen Lernen wird der Algorithmus „trainiert“. Hier werden dem Algorithmus viele Bilder von (in unserem Fall) Hunden oder anderen Tieren gezeigt. Wenn er das Tier fälschlicherweise als Hund erkennt, verändert er die Gewichtung der Merkmale. Wenn er einen Hund als Hund erkennt, stärkt er die Gewichtung. Der Algorithmus wird also mit Daten gefüttert und erhält dann ein Feedback.",True,freetext,correct,,,"{'content': 4, 'format': 5, 'creativity': 4}",,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.",,,,,"Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",59.0,4.0,5.0,4.0
17,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-2-1-3,ML-2,142,"[True, False, True, True]",True,multipleChoice,correct,,,,,Lass uns das Wichtigste nochmal wiederholen:,"[{'de': 'Unser Ziel ist es, einen Algorithmus zu trainieren, der für neue Bilder das richtige Label vorhersagen kann. Also zu sagen, ob ein Bild einen Hund oder eine Katze zeigt', 'en-US': 'Our goal is to train an algorithm that can predict the correct label for new images. That is, to tell whether an image shows a dog or a cat'}, {'de': 'Für das Training nutzen wir Daten ohne Label', 'en-US': 'For training we use data without label'}, {'de': 'Die Daten, die wir für das Training benutzen, heißen Trainingsdaten', 'en-US': 'The data we use for training is called training data'}, {'de': 'Nach dem Training testen wir nochmal auf ein paar neuen Daten, wie gut die Vorhersagen des Algorithmus sind', 'en-US': 'After training, we test again on some new data how good the predictions of the algorithm are'}]",,,"Wenn du bei einer Antwort nicht weiter weißt, dann schau doch nochmal im Text nach.","[True, False, True, True]",,,,
18,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-3-1-1,ML-3,148,"[True, True, True, False]",True,multipleChoice,correct,,,,,Welche Aussagen stimmen?,"[{'de': 'Maschinelles Lernen ist ein Teilbereich der KI', 'en-US': 'Machine learning is a subfield of AI'}, {'de': 'Das maschinelle Lernen beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können', 'en-US': 'Machine learning deals with programs that can independently recognize regularities in large amounts of data'}, {'de': 'Das überwachte und das unüberwachte Lernen unterscheiden sich zum Beispiel daran, dass wir einmal Daten mit und einmal Daten ohne Label nutzen', 'en-US': 'One difference between supervised and unsupervised learning is whether we use labeled data'}, {'de': 'Beim unüberwachten Lernen wollen wir lernen, für neue Daten das richtige Label vorherzusagen', 'en-US': 'In unsupervised learning, we want to learn to predict the correct label for new data'}]",,,Lies die Antworten ganz genau durch.,"[True, True, True, False]",,,,
19,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-3-1-2,ML-3,21,"[True, False]",True,multipleChoice,false,"[[False, True], [False, True]]",,,,"Ein Empfehlungssystem für Musik, das lernt, was du für Musik magst und dann für neu erscheinende Musik voraussagt, ob du sie mögen würdest.","[{'de': 'Überwachtes Lernen', 'en-US': 'Supervised Learning'}, {'de': 'Unüberwachtes Lernen', 'en-US': 'Unsupervised Learning'}]",,,,"[True, False]",,,,
20,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-3-1-3,ML-3,31,"[True, False]",True,multipleChoice,correct,,,,,"Die Gesichtserkennung von deinem Handy. Anfangs musst du dein Gesicht aus verschiedenen Winkeln filmen. Anhand dieser Beispiele lernt es, dein Gesicht zu erkennen. Wenn dann irgendein Gesicht versucht, dein Handy zu entsperren, kann es voraussagen, ob es dein Gesicht ist oder nicht.","[{'de': 'Überwachtes Lernen', 'en-US': 'Supervised Learning'}, {'de': 'Unüberwachtes Lernen', 'en-US': 'Unsupervised Learning'}]",,,,"[True, False]",,,,
21,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,ML-3-1-4,ML-3,5,"[False, True]",True,multipleChoice,correct,,,,,Wenn wir Youtuber nach der Anzahl ihrer Follower und der Themen ihrer Videos gruppieren.,"[{'de': 'Überwachtes Lernen', 'en-US': 'Supervised Learning'}, {'de': 'Unüberwachtes Lernen', 'en-US': 'Unsupervised Learning'}]",,,,"[False, True]",,,,
22,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-1-1-1,Classification-1,27,"[False, True, False]",True,multipleChoice,correct,,,,,Welche Aussagen stimmen?,"[{'de': 'Beim überwachten Lernen braucht man Daten ohne Label', 'en-US': 'In supervised learning, you need data without a label'}, {'de': 'Einen Algorithmus zu trainieren, der Bildern mit Hunden das Label “Hund” gibt, wäre ein Fall für überwachtes Lernen', 'en-US': 'Training an algorithm to give the label ""dog"" to images with dogs would be a case for supervised learning'}, {'de': 'Beim überwachten Lernen versucht man Struktur in Daten zu finden', 'en-US': 'In supervised learning, one tries to find structure in data'}]",,,Lies die Antworten ganz genau.,"[False, True, False]",,,,
23,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Clustering-1-1-1,Clustering-1,47,"[False, False, True, True]",True,multipleChoice,correct,,,,,Was war unüberwachtes Lernen noch gleich?,"[{'de': 'Beim unüberwachten Lernen nutzt man Daten mit Label', 'en-US': 'In unsupervised learning, one uses data with label'}, {'de': 'Beim unüberwachten Lernen wollen wir die richtigen Label für neue Daten vorhersagen', 'en-US': 'In unsupervised learning, we want to predict the correct labels for new data'}, {'de': 'Beim unüberwachten Lernen hat man keine Label für die Daten', 'en-US': ""In unsupervised learning, you don't have a label for the data""}, {'de': 'Beim unüberwachten Lernen geht es darum, Struktur in den Daten zu finden', 'en-US': 'Unsupervised learning is about finding structure in the data'}]",,,Hier geht es nicht um überwachtes Lernen!,"[False, False, True, True]",,,,
24,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Clustering-1-1-2,Clustering-1,66,"[True, False]",True,multipleChoice,correct,,,,,Welche Aussagen über die anderen beiden Cluster stimmen?,"[{'de': 'Die Youtuber im roten Cluster laden öfter Videos hoch', 'en-US': 'The Youtubers in the red cluster upload videos more often'}, {'de': 'Die Youtuber im blauen Cluster laden öfter Videos hoch', 'en-US': 'The Youtubers in the blue cluster upload videos more often'}]",,,,"[True, False]",,,,
25,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Clustering-1-1-3,Clustering-1,113,8,True,inputField,correct,['9'],1,,,Wie viele Youtuber sind sowohl sehr aktiv als auch beliebt?,,,,In welchem Cluster sind die beliebtesten und aktivsten Youtuber?,8,,,,
26,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Clustering-1-1-4,Clustering-1,15,7,True,inputField,correct,,,,,"Wie viele Youtuber sind aktiv, haben aber nicht so viele Views?",,,,"Welche Gruppe hat viele Uploads, aber nicht so viele Views? Wie viele Youtuber sind in diesem Cluster?",7,,,,
27,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-1,Classification-2,74,1,True,inputField,correct,,,,,Wie viele Filme stimmen zwischen Josi und Alex überein? Gib die Zahl in dieses Feld ein.,,,,,1,,,,
28,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-2,Classification-2,16,1,True,inputField,correct,,,,,Wie viele Filme stimmen zwischen Paul und Alex überein?,,,,,1,,,,
29,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-3,Classification-2,17,3,True,inputField,correct,,,,,Wie viele Filme stimmen zwischen Mahmud und Alex überein?,,,,,3,,,,
30,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-4,Classification-2,15,1,True,inputField,correct,,,,,Wie viele Filme stimmen zwischen Anna und Alex überein?,,,,,1,,,,
31,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-5,Classification-2,51,1,True,inputField,correct,,,,,Wie viele Filme stimmen zwischen Isa und Alex überein?,,,,,1,,,,
32,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-6,Classification-2,6,"[False, False, True, False, False]",True,multipleChoice,correct,,,,,Wer hat den ähnlichsten Filmgeschmack zu Alex?,"[{'de': 'Josi', 'en-US': 'Josi'}, {'de': 'Paul', 'en-US': 'Paul'}, {'de': 'Mahmud', 'en-US': 'Mahmud'}, {'de': 'Anna', 'en-US': 'Anna'}, {'de': 'Isa', 'en-US': 'Isa'}]",,,Wer hatte die meisten Übereinstimmungen mit Alex?,"[False, False, True, False, False]",,,,
33,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-7,Classification-2,85,"[False, False, True, False, False]",True,multipleChoice,correct,"[[False, False, False, False, True]]",1,,,Welchen Film kannst du Alex guten Gewissens empfehlen?,"[{'de': 'James Bond', 'en-US': 'James Bond'}, {'de': 'Herr der Ringe', 'en-US': 'Lord of the Rings'}, {'de': 'Avengers Endgame', 'en-US': 'Avengers Endgame'}, {'de': 'Fluch der Karibik', 'en-US': 'Pirates of the Caribbean'}, {'de': 'Hangover', 'en-US': 'Hangover'}]",,,Welchen Film hat Mahmud zuletzt geschaut?,"[False, False, True, False, False]",,,,
34,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Classification-2-1-8,Classification-2,49,"[True, False, True]",True,multipleChoice,correct,,1,,,Welche Aussagen stimmen?,"[{'de': 'Ein Algorithmus, der dir basierend auf deinen Lieblingsfächern einen Beruf vorschlägt, könnte man mittels überwachtem Lernen umsetzen', 'en-US': 'An algorithm that suggests a profession based on your favorite subjects could be implemented using supervised learning'}, {'de': 'Ein Algorithmus, der ähnliche Berufe gruppiert, gehört zum überwachten Lernen', 'en-US': 'An algorithm that groups similar occupations is part of supervised learning'}, {'de': 'Ein Algorithmus, der anhand vieler alter Fälle gelernt hat, medizinische Diagnosen zu stellen, gehört zum überwachten Lernen', 'en-US': 'An algorithm that has learned to make medical diagnoses based on many old cases is part of supervised learning'}]",,,"Denk daran, dass wir beim überwachten Lernen Label voraussagen. Welcher dieser Algorithmen sagt ein Label voraus?","[True, False, True]",,,,
35,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,509,"Für eine Make-Up-Marke würde ich am ehesten den Youtuber mit der Clusternummer 1 wählen, da dieser als häufiges Thema Beauty beinhaltet. Außerdem hat er die meisten Views. Für eine Autowerbung würde ich den Youtuber mit der Clusternummer 3 wählen, da dieser 50 Jahre alt ist und dementsprechend wahrscheinlich eine Zuschauerschaft, die eher ein Auto kauft als junge Menschen.",True,freetext,correct,,,"{'content': 5, 'format': 4, 'creativity': 4}",,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.",,,,,"Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",58.0,5.0,4.0,4.0
36,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,LimitsML-1-1,LimitsML,36,"[True, True, False]",True,multipleChoice,correct,,,,,"Was könnte passieren, wenn wir bei den Hundebildern nur Bilder von einer Hunderasse nutzen würden?","[{'de': 'Der Algorithmus würde nur Hunde dieser Rasse zuverlässig als Hunde erkennen', 'en-US': 'The algorithm would only reliably recognize dogs of this breed as dogs'}, {'de': 'Bei Hunden anderer Rassen ist es schwer zu sagen, ob er sie erkennen würde, aber sehr wahrscheinlich nicht so zuverlässig', 'en-US': ""With other breed dogs, it's hard to say if he would recognize them, but most likely not as reliably""}, {'de': 'Der Algorithmus würde immer noch alle Hunderassen als Hunde erkennen, weil es keine Katzen sind', 'en-US': 'The algorithm would still recognize all dog breeds as dogs because they are not cats'}]",,,,"[True, True, False]",,,,
37,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,113,"Dann würde der Algorithmus denken, dass Hunde aussehen wie Seehunde. Also würde er dann Seehunde als Hunde erkennen und benennen",True,freetext,correct,,,"{'content': 5, 'format': 5, 'creativity': 4}",,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?",,,,,"Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",20.0,5.0,5.0,4.0
38,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-1,EvalML,10,95,True,surveySlider,,,,,,"Wie gut hast du verstanden, was KI ist? Sei dabei so ehrlich es geht damit wir diese Inhalte noch verbessern können.",,Gar nicht,Sehr gut,,,,,,
39,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-2,EvalML,8,100,True,surveySlider,,,,,,Wie gut hast du den Unterschied zwischen spezifischer und allgemeiner KI verstanden?,,Gar nicht,Sehr gut,,,,,,
40,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-3,EvalML,54,"[True, False, False, True, False, True, False, False, True]",True,multipleChoice,false,"[[True, False, False, True, False, True, False, True, True]]",,,,Welche der Aussagen stimmen?,"[{'de': 'KI-Anwendungen zeichnen sich dadurch aus, dass sie intelligentes Verhalten zeigen, autonom funktionieren und mit Erfahrung lernen', 'en-US': 'AI applications are characterized by exhibiting intelligent behavior, functioning autonomously, and learning with experience'}, {'de': 'Eine fertige KI-Anwendung kann nicht ohne Hilfe von einem Menschen funktionieren', 'en-US': 'A finished AI application cannot function without help from a human'}, {'de': 'Eine fertige KI-Anwendung kann nicht mit Erfahrung lernen, sie bleibt, wie sie ist', 'en-US': 'A ready-made AI application cannot learn with experience, it remains as it is'}, {'de': 'Eine spezifische KI zeigt intelligentes Verhalten in einem kleinen Bereich', 'en-US': 'A specific AI exhibits intelligent behavior in a small domain'}, {'de': 'Jede KI hat allgemeine Intelligenz. Damit ist jede KI eine allgemeine KI', 'en-US': 'Every AI has general intelligence. Thus every AI is a general AI'}, {'de': 'Ein Programm, dass so gut Schach spielen kann, wie Menschen, ist ein Beispiel für eine spezifische KI', 'en-US': 'A program that can play chess as well as humans is an example of a specific AI'}, {'de': 'Derzeit gibt es sowohl Anwendungen, die zur spezifischen, als auch welche, die zur allgemeinen KI gehören', 'en-US': 'Currently, there are applications that belong to specific AI as well as those that belong to general AI'}, {'de': 'KI kann irgendwann alles besser als der Mensch', 'en-US': 'AI will eventually be able to do everything better than humans'}, {'de': 'Jeder Mensch wird zukünftig eine Vielzahl verschiedener KIs in seinem Alltag nutzen', 'en-US': 'In the future, everyone will use a variety of different AIs in their everyday lives'}]",,,,"[True, False, False, True, False, True, False, False, True]",,,,
41,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-4,EvalML,36,"[True, False, True, False]",True,multipleChoice,correct,"[[True, True, True, False]]",1,,,Welche der folgenden Anwendungen enthalten KI-Methoden?,"[{'de': 'Die Erkennung von Gegenständen auf Bildern', 'en-US': 'The recognition of objects in images'}, {'de': 'Das Sortieren von Bildern nach Datum', 'en-US': 'Sorting images by date'}, {'de': 'Ein personalisiertes Empfehlungssystem für Musik', 'en-US': 'A personalized recommendation system for music'}, {'de': 'Eine Nachrichtenseite, die jedem Nutzer den gleichen Inhalt präsentiert', 'en-US': 'A news site that presents the same content to every user'}]",,,"Denk an die drei Eigenschaften, die KI-Anwendungen ausmachen: intelligentes Verhalten, Lernen mit Erfahrung und Selbständigkeit.","[True, False, True, False]",,,,
42,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-5,EvalML,8,81,True,surveySlider,,,,,,"Wie gut hast du verstanden, was maschinelles Lernen ist? Sei dabei so ehrlich es geht, damit wir diese Inhalte noch verbessern können.",,Gar nicht,Sehr gut,,,,,,
43,bniRycMi5bwrXjvGy,qFEyvypMn4sAwLwtc,EvalML-1-6,EvalML,7,54,True,surveySlider,,,,,,"Wie sehr hast du das Gefühl, verstanden zu haben, was der Unterschied zwischen überwachtem und unüberwachtem Lernen ist?",,Gar nicht,Sehr gut,,,,,,
